qc_id,objectid,tipo,icon_url
"473","474",Galeria,./0.png
"474","475",Galeria,./0.png
"475","476",Galeria,./0.png
"476","477",Galeria,./0.png
"477","478",Galeria,./0.png
"478","479",Galeria,./0.png
"479","480",Galeria,./0.png
"480","481",Sarilho,./4.png
"481","482",Galeria,./0.png
"482","483",Galeria,./0.png
"483","484",Canal,./8.png
"484","485",Sarilho,./4.png
"485","486",Caverna,./19.png
"486","487",Sarilho,./4.png
"487","488",Galeria,./0.png
"488","489",Caverna,./19.png
"489","490",Galeria,./0.png
"490","491",Abrigo,./11.png
"491","492",Galeria,./0.png
"492","493",Galeria,./0.png
"493","494",Galeria,./0.png
"494","495",Galeria,./0.png
"495","496",Galeria,./0.png
"496","497",Galeria,./0.png
"497","498",Galeria,./0.png
"498","499",Galeria,./0.png
"499","500",Galeria,./0.png
"500","501",Galeria,./0.png
"501","502",Galeria,./0.png
"502","503",Galeria,./0.png
"503","504",Galeria,./0.png
"504","505",Galeria,./0.png
"505","506",Galeria,./0.png
"506","507",Galeria,./0.png
"507","508",Galeria,./0.png
"508","509",Galeria,./0.png
"509","510",Galeria,./0.png
"510","511",Galeria,./0.png
"511","512",Galeria,./0.png
"512","513",Galeria,./0.png
"513","514",Galeria,./0.png
"514","515",Galeria,./0.png
"515","516",Galeria,./0.png
"516","517",Galeria,./0.png
"517","518",Galeria,./0.png
"518","519",Galeria,./0.png
"519","520",Galeria,./0.png
"520","521",Galeria,./0.png
"521","522",Galeria,./0.png
"522","523",Galeria,./0.png
"523","524",Galeria,./0.png
"524","525",Galeria,./0.png
"525","526",Galeria,./0.png
"526","527",Galeria,./0.png
"527","528",Galeria,./0.png
"528","529",Sarilho,./4.png
"529","530",Barragem,./3.png
"530","531",Caixa d´água,./20.png
"531","532",Curral,./21.png
"532","533",Residencia,./10.png
"533","534",Curral,./21.png
"534","535",Residencia,./10.png
"535","536",Igreja,./12.png
"536","537",Sarilho,./4.png
"538","539",Caixa esculpida,./22.png
"539","540",Bueiro,./23.png
"540","541",Brunidor,./24.png
"541","542",Galeria,./0.png
"542","543",Residencia,./10.png
"543","544",Residencia,./10.png
"544","545",Caixa de lavagem,./25.png
"545","546",Residencia,./10.png
"547","548",Barragem,./3.png
"548","549",Muro,./5.png
"549","550",Residencia,./10.png
"550","551",Cava,./26.png
"551","552",Parede,./27.png
"552","553",Sarilho,./4.png
"553","554",Curral,./21.png
"554","555",Caixa esculpida,./22.png
"555","556",Galeria,./0.png
"556","557",Residencia,./10.png
"557","558",Pilão,./28.png
"558","559",Caixa esculpida,./22.png
"559","560",Sarilho,./4.png
"560","561",Estação,./29.png
"561","562",Aterro,./30.png
"562","563",Mundéu,./7.png
"563","564",Caixa d´água,./20.png
"564","565",Residencia,./10.png
"565","566",Residencia,./10.png
"566","567",Galeria,./0.png
"567","568",Canoa,./31.png
"568","569",Estrada,./9.png
"569","570",Lagoa,./32.png
"570","571",Valo de divisa,./33.png
"571","572",Galeria,./0.png
"572","573",Barragem,./3.png
"573","574",Residencia,./10.png
"574","575",Sarilho,./4.png
"575","576",Barragem,./3.png
"576","577",Residencia,./10.png
"577","578",Paiol,./34.png
"578","579",Residencia,./10.png
"579","580",Casa Paroquial,./35.png
"580","581",Residencia,./10.png
"581","582",Residencia,./10.png
"582","583",Mundéu,./7.png
"583","584",Residencia,./10.png
"584","585",Residencia,./10.png
"585","586",Barragem,./3.png
"586","587",Barragem,./3.png
"587","588",Residencia,./10.png
"588","589",Residencia,./10.png
"589","590",Barragem,./3.png
"590","591",Fundição,./36.png
"591","592",Residencia,./10.png
"592","593",Galeria,./0.png
"593","594",Residencia,./10.png
"594","595",Brunidor,./24.png
"595","596",Galeria,./0.png
"596","597",Galeria,./0.png
"598","599",Galeria,./0.png
"599","600",Muro,./5.png
"600","601",Muro,./5.png
"601","602",Residencia,./10.png
"602","603",Brunidor,./24.png
